评价时间,门店名称,商品名,商品评分,评价内容,追评内容,商家回复,折叠评价,评价审核状态
2026-08-06,煌上煌酱鸭（宝安金安路专卖店）,【限量】200g混拼素菜,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-07,煌上煌酱鸭(上饶公园道店),[嘎嘎好吃]香卤牛肉 约250克,1.0,缺斤少两 250g牛肉少了70g,,,正常,未举报
2026-08-07,煌上煌酱鸭(上饶公园道店),[嘎嘎好吃]香卤牛肉 约250克,1.0,商家缺斤少两 250g牛肉到手180g 整整少了70g,,,正常,未举报
2026-08-07,煌上煌酱鸭(上饶公园道店),[嘎嘎好吃]香卤牛肉 约250克,1.0,商家缺斤少两，250g牛肉到手180g 整整少了70g,,,正常,未举报
2026-08-07,煌上煌酱鸭(中山远洋城专卖店),网红柠檬无骨凤爪(酸辣) 大份约220克,2.0,点的大份，没想到份量好少,,,正常,未举报
2026-08-07,煌上煌酱鸭（云浮连滩建设路专卖店）,释放“鸭力”三荤三素套餐 一人份,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-07,煌上煌酱鸭(光明玉律南海百货专卖店),煌上煌鸭锁骨1个 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-07,煌上煌酱鸭(光明玉律南海百货专卖店),煌上煌鸭脖80G 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-07,煌上煌酱鸭(光明玉律南海百货专卖店),煌上煌香辣毛豆100g 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-08,煌上煌酱鸭（盐田广富店）,煌上煌鸭脖80G 常温,1.0,"这鸭脖的份量少的可怜，两盒加起来就只有一根的份量。。
第一买他们家的东西，估计也是最后一次了",,,正常,未举报
2026-08-08,煌上煌酱鸭(泉州晋江阳光天地专卖店),麻辣鸭锁骨 小份(约150g),5.0,此用户未填写评价内容,,,正常,未举报
2026-08-08,煌上煌酱鸭（直属莲塘一中店）,[进店必买]手撕酱鸭[酱辣] 约250克 酱辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-09,煌上煌酱鸭(宝安塘尾地铁专卖店),招牌卤鸭掌(不辣) 大份约210克,1.0,不新鲜都变硬，一试就是放了好多天后怕变质后面加了很多调味,,,正常,未举报
2026-08-09,煌上煌酱鸭(宝安塘尾地铁专卖店),煌上煌手撕酱鸭100g 酱香,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-09,煌上煌酱鸭(宝安塘尾地铁专卖店),煌上煌手撕酱鸭100g 酱辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-09,煌上煌酱鸭（万科店）,[天下鲜香]微辣卤鸭掌 约130克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-09,煌上煌酱鸭(沃华广场店),煌上煌手撕酱鸭100g 酱香,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-10,煌上煌酱鸭（佛山桂城凤凰荟店）,[招牌必点]手撕酱鸭 100克 酱辣,1.0,酱板鸭非常难吃，吃起来也不怎么新鲜了，估计是放了好久的冻货，浪费我几十块钱，慎重购买，听劝，真的，谁买谁后悔！,,,正常,未举报
2026-08-10,煌上煌酱鸭(鹰抚东乡东信财富广场店),麻辣小鸭掌 约250g,3.0,鸭脚太小了。,,,正常,未举报
2026-08-10,煌上煌酱鸭(经开榴云路店),京东煌上煌香辣海带结100g 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-10,煌上煌酱鸭(经开榴云路店),香卤腐竹 约180克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-10,煌上煌酱鸭（南山区新华园专卖店）,煌上煌手撕酱鸭100g 酱香,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-10,煌上煌酱鸭(福州金牛店),煌上煌手撕酱鸭100g 酱辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-10,煌上煌酱鸭(福州闽侯青口博雅店),招牌卤鸭掌【金黄诱人、香气饱满】 小份（约200g） 微辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-11,煌上煌酱鸭(南宁淡村农贸市场店),JD煌上煌鸭脖80G 常温,3.0,此用户未填写评价内容,,,正常,未举报
2026-08-11,煌上煌酱鸭(南宁淡村农贸市场店),JD煌上煌鸭锁骨1个 常温,3.0,此用户未填写评价内容,,,正常,未举报
2026-08-11,煌上煌手撕酱鸭（宝安区塘下涌店）,香辣毛豆100g 常温,4.0,此用户未填写评价内容,,,正常,未举报
2026-08-11,煌上煌手撕酱鸭（宝安区塘下涌店）,鸭脖80G 常温,4.0,此用户未填写评价内容,,,正常,未举报
2026-08-11,煌上煌手撕酱鸭（宝安区塘下涌店）,鸭锁骨1个 常温,4.0,此用户未填写评价内容,,,正常,未举报
2026-08-11,煌上煌酱鸭(东莞桥头),手撕酱鸭炒饭 整盒约300克,4.0,此用户未填写评价内容,,,正常,未举报
2026-08-11,煌上煌酱鸭（直属洪都邮政店）,香卤鸡翅尖 约250克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-11,煌上煌酱鸭(揭阳揭东炮台专卖店),JD煌上煌香卤鸡翅尖100g 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-11,煌上煌酱鸭(揭阳揭东炮台专卖店),JD煌上煌鸭锁骨1个 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-11,煌上煌酱鸭(揭阳揭东炮台专卖店),JD煌上煌香辣毛豆100g 常温,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-12,煌上煌酱鸭(千岛湖店),香卤龙虾尾（香辣） 100g,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-12,煌上煌酱鸭（清远英德食娱广场专卖店）,招牌卤鸭掌(不辣) 大份约210克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-12,煌上煌酱鸭（十里桃花店）,[进店必买]手撕酱鸭[酱香(甜)] 约130克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-13,煌上煌酱鸭(东莞望牛墩嘉荣广场专卖店),香卤鸭翅中(不辣) 大份约300克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-13,煌上煌酱鸭(海口龙湖光年专卖店),盐焗凤爪 大份约200克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-14,煌上煌酱鸭（南山区工业七路店）,半只煌家酱鸭（切块） 不辣,1.0,吃到有发臭的味道 很腥 好恶心,,,正常,未举报
2026-08-14,煌上煌酱鸭（肇庆大旺广场店）,【单人套餐】手撕酱鸭炒饭+荤菜任选 单人套餐 手撕酱鸭炒饭 4个鸭翅中,4.0,此用户未填写评价内容,,,正常,未举报
2026-08-14,煌上煌酱鸭(惠东大岭专卖店),香卤鸭脖(麻辣) 大份约280克,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-14,煌上煌酱鸭(龙岗龙城阳光广场专卖店),[招牌必点]手撕酱鸭 160克 酱辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-08-14,煌上煌酱鸭(直属柳州五星街美食广场店),煌上煌手撕酱鸭100g 酱辣,5.0,此用户未填写评价内容,,,正常,未举报
